window_ts,unit_parent_number,uat_event_ts,prod_event_ts,uat_delay,prod_delay,delay_improvement
2023-10-10 18:00:00.000000 UTC,621348,2023-10-10 18:04:57.437760 UTC,2023-10-10 18:36:39.386926 UTC,297,2199,0
2023-10-10 22:45:00.000000 UTC,621352,2023-10-10 22:54:31.913983 UTC,2023-10-10 23:17:19.837078 UTC,571,1939,0
2023-10-10 22:50:00.000000 UTC,621352,2023-10-10 22:54:31.913983 UTC,2023-10-10 23:26:35.555258 UTC,271,2195,0
2023-10-10 22:40:00.000000 UTC,621352,2023-10-10 22:44:44.887292 UTC,2023-10-10 23:06:41.148056 UTC,284,1601,0
2023-10-10 22:35:00.000000 UTC,621352,2023-10-10 22:44:44.887292 UTC,2023-10-10 23:06:41.148056 UTC,584,1901,0
2023-10-10 22:55:00.000000 UTC,621352,2023-10-10 23:05:11.840476 UTC,2023-10-10 23:26:35.555258 UTC,611,1895,0
2023-10-10 03:15:00.000000 UTC,621161,2023-10-10 03:24:26.330653 UTC,2023-10-10 04:06:27.283586 UTC,566,3087,0
2023-10-10 03:00:00.000000 UTC,621161,2023-10-10 03:04:19.720606 UTC,2023-10-10 04:06:27.283586 UTC,259,3987,0
2023-10-10 03:25:00.000000 UTC,621161,2023-10-10 03:34:20.676575 UTC,2023-10-10 04:06:27.283586 UTC,560,2487,0
2023-10-10 03:10:00.000000 UTC,621161,2023-10-10 03:14:19.675547 UTC,2023-10-10 04:06:27.283586 UTC,259,3387,0
2023-10-10 03:20:00.000000 UTC,621161,2023-10-10 03:24:26.330653 UTC,2023-10-10 03:46:22.968077 UTC,266,1582,0
2023-10-10 03:05:00.000000 UTC,621161,2023-10-10 03:14:19.675547 UTC,2023-10-10 03:36:44.798799 UTC,559,1904,0
2023-10-10 17:15:00.000000 UTC,620831,2023-10-10 17:24:46.307658 UTC,2023-10-10 18:16:37.971205 UTC,586,3697,0
2023-10-10 04:10:00.000000 UTC,620720,2023-10-10 04:14:45.774088 UTC,2023-10-10 04:56:40.189489 UTC,285,2800,0
